project_id,smell_id,smell_type,refactoring_type,alignment_confidence
apache-lucene,SMELL_e9e46afe,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_97a2e4b2,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_c340376e,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_661fa417,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_db38bc60,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_a06e1293,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_9836d09b,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_b4745fa4,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_e77df276,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_2d9134b6,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_73891f47,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_5c825ded,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_ca7040d0,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_1226fded,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_eb40cea6,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_86992a39,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_b342e42c,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_85740a1d,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_8cc43064,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_a44b494e,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_2afe9e23,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_9724785b,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_dc8c6908,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_67bfb926,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_ba3172d9,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_f1880ac1,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_ffc7b177,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_b8a18863,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_248eab7a,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_8defefcf,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_dc1d4e19,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_b6a3c8ee,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_4d77b857,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_f3f8a424,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_26251449,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_5bfc134f,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_86439692,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_900751c7,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_f8cfa586,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_0ec2d5d3,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_8a169fac,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_76fbd235,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_bb326dff,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_370107ca,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_7ff919cf,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_61abfc65,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_77a40c49,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_c0cd8883,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_26b1ee1a,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_24a51222,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_2cff2ba5,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_3f2e8d66,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_53704908,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_94f7a182,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_44a6bb59,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_161b292a,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_ae09009e,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_3a84abd4,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_f34b4135,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_8050ea90,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_5fabd949,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_a42411f5,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_2924bb66,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_e1c111e7,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_2cf4b776,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_e2b0debc,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_71cb41dd,Hub-Like Dependency,Extract Interface,0.6
apache-lucene,SMELL_6883d91c,Hub-Like Dependency,Extract Interface,0.6
