Project,Package,Class,Method,Smell,Description,Method start line no,File
tika,org.apache.tika.example,DumpTikaConfigExampleTest,testDump,Magic Number,The method contains a magic number: 130,67,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/DumpTikaConfigExampleTest.java
tika,org.apache.tika.example,DumpTikaConfigExampleTest,testDump,Magic Number,The method contains a magic number: 3,67,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/DumpTikaConfigExampleTest.java
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseToPlainTextChunks,Magic Number,The method contains a magic number: 3,95,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/ContentHandlerExampleTest.java
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseToPlainTextChunks,Magic Number,The method contains a magic number: 2,95,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/ContentHandlerExampleTest.java
tika,org.apache.tika.example,TextStatsFromTikaEvalTest,testOOV,Magic Number,The method contains a magic number: 0.25,25,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/TextStatsFromTikaEvalTest.java
tika,org.apache.tika.example,TextStatsFromTikaEvalTest,testOOV,Magic Number,The method contains a magic number: 0.01,25,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/TextStatsFromTikaEvalTest.java
tika,org.apache.tika.example,TestParsingExample,testRecursiveParserWrapperExample,Magic Number,The method contains a magic number: 12,77,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/TestParsingExample.java
tika,org.apache.tika.example,TestParsingExample,testRecursiveParserWrapperExample,Magic Number,The method contains a magic number: 6,77,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/TestParsingExample.java
tika,org.apache.tika.example,TestParsingExample,testSerializedRecursiveParserWrapperExample,Magic Number,The method contains a magic number: 12,88,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/TestParsingExample.java
tika,org.apache.tika.example,SimpleTextExtractorTest,testSimpleTextExtractor,Long Statement,The length of the statement "String message="This is Tika - Hello` World! This is simple UTF-8 text" + " content written in English to test autodetection of" + " the character encoding of the input stream.";" is 178.,35,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/SimpleTextExtractorTest.java
tika,org.apache.tika.example,ExtractEmbeddedFilesTest,testExtractEmbeddedFiles,Magic Number,The method contains a magic number: 2,54,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/test/java/org/apache/tika/example/ExtractEmbeddedFilesTest.java
tika,org.apache.tika.example,ParsingExample,extractEmbeddedDocumentsExample,Long Statement,The length of the statement "try (TikaInputStream stream=TikaInputStream.get(ParsingExample.class.getResourceAsStream("test_recursive_embedded.docx"))){" is 123.,200,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/ParsingExample.java
tika,org.apache.tika.example,ImportContextImpl,ImportContextImpl,Long Parameter List,The method has 6 parameters. ,54,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/ImportContextImpl.java
tika,org.apache.tika.example,ImportContextImpl,getInputStream,Empty catch clause,The method has an empty catch block.,112,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/ImportContextImpl.java
tika,org.apache.tika.example,SpringExample,main,Long Statement,The length of the statement "parser.parse(new ByteArrayInputStream("Hello` World!".getBytes(UTF_8))`new WriteOutContentHandler(new OutputStreamWriter(System.out`UTF_8))`new Metadata()`new ParseContext());" is 175.,33,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/SpringExample.java
tika,org.apache.tika.example,PickBestTextEncodingParser,parserCompleted,Complex Conditional,The conditional expression (c >= 'a' && c <= 'z') || (c >= 'A' && c <= 'Z') || (c >= '0' && c <= '9') is complex.,96,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/PickBestTextEncodingParser.java
tika,org.apache.tika.example,PickBestTextEncodingParser,parserCompleted,Long Parameter List,The method has 5 parameters. ,96,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/PickBestTextEncodingParser.java
tika,org.apache.tika.example,DumpTikaConfigExample,main,Complex Method,Cyclomatic complexity of the method is 9,43,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/DumpTikaConfigExample.java
tika,org.apache.tika.example,StandardsExtractionExample,processFolder,Empty catch clause,The method has an empty catch block.,69,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/StandardsExtractionExample.java
tika,org.apache.tika.example,StandardsExtractionExample,process,Magic Number,The method contains a magic number: 0.75,95,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/StandardsExtractionExample.java
tika,org.apache.tika.example,DirListParser,parse,Long Statement,The length of the statement "this.addMetadata(metadata`filePermissions`numHardLinks`fileOwner`fileOwnerGroup`fileSize`lastModDate.toString()`fileName.toString());" is 133.,86,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/DirListParser.java
tika,org.apache.tika.example,DirListParser,parse,Magic Number,The method contains a magic number: 8,86,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/DirListParser.java
tika,org.apache.tika.example,DirListParser,parse,Magic Number,The method contains a magic number: 2,86,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/DirListParser.java
tika,org.apache.tika.example,DirListParser,parse,Magic Number,The method contains a magic number: 3,86,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/DirListParser.java
tika,org.apache.tika.example,DirListParser,parse,Magic Number,The method contains a magic number: 4,86,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/DirListParser.java
tika,org.apache.tika.example,DirListParser,parse,Magic Number,The method contains a magic number: 5,86,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/DirListParser.java
tika,org.apache.tika.example,DirListParser,parse,Magic Number,The method contains a magic number: 6,86,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/DirListParser.java
tika,org.apache.tika.example,DirListParser,parse,Magic Number,The method contains a magic number: 7,86,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/DirListParser.java
tika,org.apache.tika.example,DirListParser,parse,Magic Number,The method contains a magic number: 8,86,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/DirListParser.java
tika,org.apache.tika.example,DirListParser,addMetadata,Long Parameter List,The method has 8 parameters. ,117,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/DirListParser.java
tika,org.apache.tika.example,RollbackSoftware,rollback,Magic Number,The method contains a magic number: 2,52,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/RollbackSoftware.java
tika,org.apache.tika.example,RollbackSoftware,rollback,Magic Number,The method contains a magic number: 2,52,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/RollbackSoftware.java
tika,org.apache.tika.example,RecentFiles,generateRSS,Long Statement,The length of the statement "TermRangeQuery query=new TermRangeQuery(TikaCoreProperties.CREATED.getName()`new BytesRef(fiveMinsAgo)`new BytesRef(nowDateTime)`true`true);" is 140.,53,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/RecentFiles.java
tika,org.apache.tika.example,RecentFiles,generateRSS,Magic Number,The method contains a magic number: 5,53,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/RecentFiles.java
tika,org.apache.tika.example,RecentFiles,generateRSS,Magic Number,The method contains a magic number: 20,53,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/RecentFiles.java
tika,org.apache.tika.example,RecentFiles,generateRSS,Magic Number,The method contains a magic number: 10000,53,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/RecentFiles.java
tika,org.apache.tika.example,RecentFiles,getRSSItem,Long Statement,The length of the statement "output.append(emitTag("pubDate"`rssDateFormat.format(ISO8601.parse(doc.get(TikaCoreProperties.CREATED.getName())))`null`null));" is 127.,84,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/RecentFiles.java
tika,org.apache.tika.example,TIAParsingExample,parseToReaderExample,Magic Number,The method contains a magic number: 1000,67,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/TIAParsingExample.java
tika,org.apache.tika.example,TIAParsingExample,testCompositeDocument,Long Statement,The length of the statement "@Override public void parse( InputStream stream` ContentHandler handler` Metadata metadata` ParseContext context) throws IOException` SAXException` TikaException {" is 163.,183,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/TIAParsingExample.java
tika,org.apache.tika.example,TIAParsingExample,testCompositeDocument,Magic Number,The method contains a magic number: 4424210691523343833L,183,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/TIAParsingExample.java
tika,org.apache.tika.example,GrabPhoneNumbersExample,processFolder,Empty catch clause,The method has an empty catch block.,64,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/GrabPhoneNumbersExample.java
tika,org.apache.tika.example,EncryptedPrescriptionDetector,detect,Complex Conditional,The conditional expression name != null && "http://example.com/xpd".equals(name.getNamespaceURI()) && "prescription".equals(name.getLocalPart()) is complex.,36,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/EncryptedPrescriptionDetector.java
tika,org.apache.tika.example,EncryptedPrescriptionDetector,detect,Empty catch clause,The method has an empty catch block.,36,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/EncryptedPrescriptionDetector.java
tika,org.apache.tika.example,EncryptedPrescriptionDetector,detect,Long Statement,The length of the statement "if (name != null && "http://example.com/xpd".equals(name.getNamespaceURI()) && "prescription".equals(name.getLocalPart())) {" is 124.,36,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/EncryptedPrescriptionDetector.java
tika,org.apache.tika.example,EncryptedPrescriptionDetector,detect,Magic Number,The method contains a magic number: 1024,36,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/EncryptedPrescriptionDetector.java
tika,org.apache.tika.example,AdvancedTypeDetector,detectWithCustomDetector,Magic Number,The method contains a magic number: 5420638839201540749L,35,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-example/src/main/java/org/apache/tika/example/AdvancedTypeDetector.java
tika,org.apache.tika.parser.jdbc,AbstractDBParser,parse,Complex Conditional,The conditional expression e.getClass().toString().contains("SQLiteException") && e.getMessage() != null && (e.getMessage().contains("[SQLITE_ERROR]") || e.getMessage().contains("[SQLITE_CORRUPT]")) is complex.,54,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-jdbc-commons/src/main/java/org/apache/tika/parser/jdbc/AbstractDBParser.java
tika,org.apache.tika.parser.jdbc,AbstractDBParser,parse,Empty catch clause,The method has an empty catch block.,54,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-jdbc-commons/src/main/java/org/apache/tika/parser/jdbc/AbstractDBParser.java
tika,org.apache.tika.parser.jdbc,AbstractDBParser,parse,Empty catch clause,The method has an empty catch block.,54,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-jdbc-commons/src/main/java/org/apache/tika/parser/jdbc/AbstractDBParser.java
tika,org.apache.tika.parser.jdbc,AbstractDBParser,parse,Long Statement,The length of the statement "if (e.getClass().toString().contains("SQLiteException") && e.getMessage() != null && (e.getMessage().contains("[SQLITE_ERROR]") || e.getMessage().contains("[SQLITE_CORRUPT]"))) {" is 178.,54,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-jdbc-commons/src/main/java/org/apache/tika/parser/jdbc/AbstractDBParser.java
tika,org.apache.tika.parser.jdbc,JDBCTableReader,handleCell,Complex Method,Cyclomatic complexity of the method is 12,98,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-jdbc-commons/src/main/java/org/apache/tika/parser/jdbc/JDBCTableReader.java
tika,org.apache.tika.parser.jdbc,JDBCTableReader,handleClob,Long Parameter List,The method has 7 parameters. ,176,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-jdbc-commons/src/main/java/org/apache/tika/parser/jdbc/JDBCTableReader.java
tika,org.apache.tika.parser.jdbc,JDBCTableReader,handleClob,Long Statement,The length of the statement "m.set(TikaCoreProperties.RESOURCE_NAME_KEY`FilenameUtils.normalize(FilenameUtils.getName(columnName + "_" + rowNum+ ".txt")));" is 126.,176,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-jdbc-commons/src/main/java/org/apache/tika/parser/jdbc/JDBCTableReader.java
tika,org.apache.tika.parser.jdbc,JDBCTableReader,handleClob,Long Statement,The length of the statement "embeddedDocumentUtil.parseEmbedded(UnsynchronizedByteArrayInputStream.builder().setByteArray(s.getBytes(UTF_8)).get()`handler`m`true);" is 134.,176,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-jdbc-commons/src/main/java/org/apache/tika/parser/jdbc/JDBCTableReader.java
tika,org.apache.tika.parser.jdbc,JDBCTableReader,handleBlob,Empty catch clause,The method has an empty catch block.,208,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-jdbc-commons/src/main/java/org/apache/tika/parser/jdbc/JDBCTableReader.java
tika,org.apache.tika.parser.jdbc,JDBCTableReader,handleBlob,Long Parameter List,The method has 7 parameters. ,208,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-jdbc-commons/src/main/java/org/apache/tika/parser/jdbc/JDBCTableReader.java
tika,org.apache.tika.parser.jdbc,JDBCTableReader,handleBlob,Long Statement,The length of the statement "m.set(TikaCoreProperties.RESOURCE_NAME_KEY`FilenameUtils.normalize(FilenameUtils.getName(columnName + "_" + rowNum+ extension)));" is 129.,208,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-jdbc-commons/src/main/java/org/apache/tika/parser/jdbc/JDBCTableReader.java
tika,org.apache.tika.parser.jdbc,JDBCTableReader,reset,Empty catch clause,The method has an empty catch block.,288,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-jdbc-commons/src/main/java/org/apache/tika/parser/jdbc/JDBCTableReader.java
tika,org.apache.tika.parser.pdf,AccessCheckerTest,getMetadata,Long Identifier,The length of the parameter allowExtractionForAccessibility is 31.,128,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/AccessCheckerTest.java
tika,org.apache.tika.parser.pdf,PDFRenderingTest,testBasic,Magic Number,The method contains a magic number: 1000,54,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFRenderingTest.java
tika,org.apache.tika.parser.pdf,PDFRenderingTest,testBasic,Magic Number,The method contains a magic number: 2,54,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFRenderingTest.java
tika,org.apache.tika.parser.pdf,PDFRenderingTest,testRotated,Magic Number,The method contains a magic number: 1000,74,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFRenderingTest.java
tika,org.apache.tika.parser.pdf,PDFRenderingTest,testRotated,Magic Number,The method contains a magic number: 2,74,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFRenderingTest.java
tika,org.apache.tika.parser.pdf,PDFRenderingTest,testRotated,Magic Number,The method contains a magic number: 90.0,74,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFRenderingTest.java
tika,org.apache.tika.parser.pdf,PDFRenderingTest,testRotated,Magic Number,The method contains a magic number: 0.1,74,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFRenderingTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testCustomMetadata,Magic Number,The method contains a magic number: 2,155,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testProtectedPDF,Long Statement,The length of the statement "assertEquals("Rethinking the Financial Network` Speech by Andrew G Haldane` " + "Executive Director` Financial Stability " + "delivered at the Financial Student "+ "Association` Amsterdam on 28 April 2009"`metadata.get(TikaCoreProperties.TITLE));" is 246.,174,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testProtectedPDF,Long Statement,The length of the statement "assertEquals("Rethinking the Financial Network` Speech by Andrew G Haldane` " + "Executive Director` Financial Stability delivered at the " + "Financial Student Association` Amsterdam on 28 April 2009"`metadata.get(TikaCoreProperties.TITLE));" is 242.,174,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testProtectedPDF,Magic Number,The method contains a magic number: 5,174,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testVarious,Long Statement,The length of the statement "assertContains("Row 1 Col 1 Row 1 Col 2 Row 1 Col 3 Row " + "2 Col 1 Row 2 Col 2 Row 2 Col 3"`content.replaceAll("\\s+"`" "));" is 126.,260,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testVarious,Magic Number,The method contains a magic number: 3,260,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testVarious,Magic Number,The method contains a magic number: 3,260,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testVarious,Magic Number,The method contains a magic number: 2,260,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testVarious,Magic Number,The method contains a magic number: 3,260,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testEmbeddedPDFs,Magic Number,The method contains a magic number: 3,381,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testEmbeddedPDFs,Magic Number,The method contains a magic number: 2,381,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testLinks,Long Statement,The length of the statement "assertContains("<div class=\"annotation\"><a href=\"http://tika.apache.org/\">" + "http://tika.apache.org/</a></div>"`result.xml);" is 130.,399,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testVersions,Long Statement,The length of the statement "assertEquals(extensionVersionTruth`r.metadata.get("pdf:PDFExtensionVersion")`"pdf:PDFExtensionVersion :: " + extensionVersionTruth);" is 132.,649,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testVersions,Long Statement,The length of the statement "for ( String hit : new String[]{"application/pdf; version=1.7"`"application/pdf; version=\"1.7 Adobe Extension Level 8\""}) {" is 125.,649,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testInlineSelector,Complex Method,Cyclomatic complexity of the method is 9,732,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testInlineSelector,Magic Number,The method contains a magic number: 2,732,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testInlineSelector,Magic Number,The method contains a magic number: 2,732,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testInlineSelector,Magic Number,The method contains a magic number: 66,732,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testInlineSelector,Magic Number,The method contains a magic number: 2,732,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testInlineSelector,Magic Number,The method contains a magic number: 2,732,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testInlineConfig,Complex Method,Cyclomatic complexity of the method is 9,783,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testInlineConfig,Magic Number,The method contains a magic number: 2,783,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testInlineConfig,Magic Number,The method contains a magic number: 2,783,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testInlineConfig,Magic Number,The method contains a magic number: 2,783,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
tika,org.apache.tika.parser.pdf,PDFParserTest,testEmbeddedFileNameExtraction,Magic Number,The method contains a magic number: 5,829,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pdf-module/src/test/java/org/apache/tika/parser/pdf/PDFParserTest.java
