project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.05263157894736842,false,PACKAGE,7,6,0.3225806451612903,false,561,19,0.0032019562350957074,0,PACKAGE,.,.,org.apache.tika.parser.microsoft.onenote.fsshttpb.streamobj.basic,basic,4370,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,9,1.0,false,187,4,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.pipes.fetcher.s3,s3,4379,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,1,1.0,false,0,1,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.parser.geo,geo,8476,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,10,0.9333333333333333,false,236,6,0.0017316959069516979,0,PACKAGE,.,.,org.apache.tika.parser.geo.topic,topic,8482,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,22,0.9827586206896551,false,885,7,9.789081157935819E-4,0,PACKAGE,.,.,org.apache.tika.pipes.core.server,server,8491,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,1,0.5,false,65,1,9.504397630183328E-4,0,PACKAGE,.,.,org.apache.tika.pipes.fetcher.s3.config,config,4473,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,0,0.0,false,16,1,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.pipes.plugin.solr,solr,379,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,7,1.0,false,38,2,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.custom.parser,parser,29057,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,7,0,1.0,false,0,2,0.008329841496296416,0,PACKAGE,.,.,org.apache.tika.language,language,4482,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.3333333333333333,false,PACKAGE,7,4,0.3333333333333333,false,41,4,0.009677133227850009,0,PACKAGE,.,.,org.apache.tika.language.translate,translate,4488,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.45,false,PACKAGE,45,10,0.2773109243697479,false,470,21,0.012583657552671131,0,PACKAGE,/data/tika/tika-core/src/main/java/org/apache/tika/extractor/package-info.java,tika-core/src/main/java/org/apache/tika/extractor/package-info.java,org.apache.tika.extractor,extractor,395,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.14285714285714285,false,PACKAGE,16,3,0.08108108108108109,false,117,7,0.004796904610632053,0,PACKAGE,.,.,org.apache.tika.language.detect,detect,4496,container
