Project,Package,Class,Smell,Description,File
tika,org.apache.tika.langdetect.tika,ProfilingWriterTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.langdetect.tika.ProfilingWriter,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-langdetect/tika-langdetect-tika/src/test/java/org/apache/tika/langdetect/tika/ProfilingWriterTest.java
tika,org.apache.tika.langdetect.tika,LanguageIdentifierTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.langdetect.tika.LanguageIdentifier; org.apache.tika.langdetect.tika.ProfilingWriter,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-langdetect/tika-langdetect-tika/src/test/java/org/apache/tika/langdetect/tika/LanguageIdentifierTest.java
tika,org.apache.tika.langdetect.tika,LanguageIdentifier,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.langdetect.tika.LanguageProfile,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-langdetect/tika-langdetect-tika/src/main/java/org/apache/tika/langdetect/tika/LanguageIdentifier.java
tika,org.apache.tika.langdetect.tika,TikaLanguageDetector,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.langdetect.tika.LanguageIdentifier,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-langdetect/tika-langdetect-tika/src/main/java/org/apache/tika/langdetect/tika/TikaLanguageDetector.java
tika,org.apache.tika.langdetect.tika,LanguageProfile,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.langdetect.tika.ProfilingWriter,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-langdetect/tika-langdetect-tika/src/main/java/org/apache/tika/langdetect/tika/LanguageProfile.java
tika,org.apache.tika.langdetect.tika,LanguageProfile,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: useInterleaved (40),/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-langdetect/tika-langdetect-tika/src/main/java/org/apache/tika/langdetect/tika/LanguageProfile.java
tika,org.apache.tika.langdetect.optimaize,OptimaizeLangDetectorTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.language.detect.LanguageWriter; org.apache.tika.language.detect.LanguageDetector,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-langdetect/tika-langdetect-optimaize/src/test/java/org/apache/tika/langdetect/optimaize/OptimaizeLangDetectorTest.java
tika,org.apache.tika.langdetect.optimaize,OptimaizeLangDetectorTest,Law of Demeter violation,The tool detected the smell in this method (testShortText) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.language.detect.LanguageDetector.loadModels; org.apache.tika.language.detect.LanguageDetector.setShortText,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-langdetect/tika-langdetect-optimaize/src/test/java/org/apache/tika/langdetect/optimaize/OptimaizeLangDetectorTest.java
tika,org.apache.tika.langdetect.optimaize,OptimaizeLangDetectorTest,Law of Demeter violation,The tool detected the smell in this method (testShortText) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.language.detect.LanguageResult.getConfidence; org.apache.tika.language.detect.LanguageDetector.detect,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-langdetect/tika-langdetect-optimaize/src/test/java/org/apache/tika/langdetect/optimaize/OptimaizeLangDetectorTest.java
tika,org.apache.tika.langdetect.optimaize,OptimaizeLangDetectorTest,Law of Demeter violation,The tool detected the smell in this method (testShortText) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.language.detect.LanguageResult.getConfidence; org.apache.tika.language.detect.LanguageDetector.detect,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-langdetect/tika-langdetect-optimaize/src/test/java/org/apache/tika/langdetect/optimaize/OptimaizeLangDetectorTest.java
tika,org.apache.tika.langdetect.optimaize,OptimaizeLangDetectorTest,Law of Demeter violation,The tool detected the smell in this method (testOptimaizeRegexBug) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.language.detect.LanguageDetector.loadModels; org.apache.tika.language.detect.LanguageDetector.setShortText,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-langdetect/tika-langdetect-optimaize/src/test/java/org/apache/tika/langdetect/optimaize/OptimaizeLangDetectorTest.java
tika,org.apache.tika.langdetect.optimaize.metadatafilter,OptimaizeMetadataFilter,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.langdetect.optimaize.OptimaizeLangDetector,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-langdetect/tika-langdetect-optimaize/src/main/java/org/apache/tika/langdetect/optimaize/metadatafilter/OptimaizeMetadataFilter.java
tika,org.apache.tika.server.eval,TikaEvalResource,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.eval.core.tokens.TokenContraster; org.apache.tika.eval.core.textstats.CompositeTextStatsCalculator,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-eval/src/main/java/org/apache/tika/server/eval/TikaEvalResource.java
tika,org.apache.tika.server.eval,TikaEvalResource,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-eval/src/main/java/org/apache/tika/server/eval/TikaEvalResource.java
tika,org.apache.tika.server.standard,MetadataResourceTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.metadata.Metadata,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-standard/src/test/java/org/apache/tika/server/standard/MetadataResourceTest.java
tika,org.apache.tika.server.standard,TikaResourceTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.metadata.Metadata,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-standard/src/test/java/org/apache/tika/server/standard/TikaResourceTest.java
tika,org.apache.tika.server.standard,TikaResourceTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-standard/src/test/java/org/apache/tika/server/standard/TikaResourceTest.java
tika,org.apache.tika.server.standard,TikaPipesTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.parser.pdf.PDFParserConfig,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-standard/src/test/java/org/apache/tika/server/standard/TikaPipesTest.java
tika,org.apache.tika.server.standard,TikaPipesTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-standard/src/test/java/org/apache/tika/server/standard/TikaPipesTest.java
tika,org.apache.tika.server.standard,RecursiveMetadataResourceTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-standard/src/test/java/org/apache/tika/server/standard/RecursiveMetadataResourceTest.java
tika,org.apache.tika.server.standard.writer,XMPMessageBodyWriter,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.xmp.XMPMetadata,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-standard/src/main/java/org/apache/tika/server/standard/writer/XMPMessageBodyWriter.java
tika,org.apache.tika.server.client,TestBasic,Law of Demeter violation,The tool detected the smell in this method (testConfig) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.server.client.TikaServerClientConfig.getHttpClientFactory; org.apache.tika.client.HttpClientFactory.getMaxConnections,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-client/src/test/java/org/apache/tika/server/client/TestBasic.java
tika,org.apache.tika.server.core,TikaResourceTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.metadata.Metadata,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-core/src/test/java/org/apache/tika/server/core/TikaResourceTest.java
tika,org.apache.tika.server.core,TikaPipesTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.metadata.Metadata,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-core/src/test/java/org/apache/tika/server/core/TikaPipesTest.java
tika,org.apache.tika.server.core,TikaPipesTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-core/src/test/java/org/apache/tika/server/core/TikaPipesTest.java
tika,org.apache.tika.server.core,TikaResourceMetadataFilterTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.metadata.Metadata,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-core/src/test/java/org/apache/tika/server/core/TikaResourceMetadataFilterTest.java
tika,org.apache.tika.server.core,ServerStatusTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.server.core.ServerStatus,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-core/src/test/java/org/apache/tika/server/core/ServerStatusTest.java
tika,org.apache.tika.server.core,CXFTestBase,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.server.core.TikaServerConfig,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-core/src/test/java/org/apache/tika/server/core/CXFTestBase.java
tika,org.apache.tika.server.core,CXFTestBase.AverageColor,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-core/src/test/java/org/apache/tika/server/core/CXFTestBase.java
tika,org.apache.tika.server.core,TikaResourceNoStackTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.server.core.TikaServerConfig,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-core/src/test/java/org/apache/tika/server/core/TikaResourceNoStackTest.java
tika,org.apache.tika.server.core,TikaServerProcess,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.tika.server.core.resource.AsyncResource; org.apache.tika.server.core.resource.PipesResource,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/TikaServerProcess.java
tika,org.apache.tika.server.core,TikaServerProcess,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DO_NOT_RESTART_EXIT_VALUE (99),/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/TikaServerProcess.java
tika,org.apache.tika.server.core,TikaServerProcess,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/TikaServerProcess.java
tika,org.apache.tika.server.core,TikaServerProcess,Law of Demeter violation,The tool detected the smell in this method (initServer) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.server.core.TlsConfig.isActive; org.apache.tika.server.core.TikaServerConfig.getTlsConfig,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/TikaServerProcess.java
tika,org.apache.tika.server.core,TikaServerProcess,Law of Demeter violation,The tool detected the smell in this method (initServer) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.tika.server.core.TlsConfig.isActive; org.apache.tika.server.core.TikaServerConfig.getTlsConfig,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/TikaServerProcess.java
tika,org.apache.tika.server.core,TikaServerCli,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TIKA_SERVER_ID_ENV (41),/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-server/tika-server-core/src/main/java/org/apache/tika/server/core/TikaServerCli.java
