Project,Package,Smell,Description
tika,org.apache.tika.parser.pdf,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 39
tika,org.apache.tika.parser.pdf,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.tika.parser.xml
tika,org.apache.tika.parser.pdf,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AccessCheckerTest; AccessChecker; PDFParserConfig; PDFMarkedContent2XHTML; PDF2XHTML; PDF2XHTML.AngleDetectingPDF2XHTML; PDFParserTest; PDFParserTest; PDFParser; OCRPageCounter; AbstractPDF2XHTML; XFAExtractor; PDFDOMUtil; PDMetadataExtractor; PDFIncrementalUpdatesTest; CustomTikaXMPTest; MyCustomImageGraphicsEngineFactory; PDFMarkedContent2XHTMLTest; OCR2XHTML; PDFEncodedStringDecoder]; [PDFRenderingTest]; [PDFRenderingTest.RenderCaptureExtractor]; [PDFParserTest.EventCountingHandler]; [PDFParserTest.AvoidInlineSelector]; [PDFParser.TikaAcroFormFixup]; [AbstractPDF2XHTML.NameSpecTuple]; [AbstractPDF2XHTML.ActionTrigger]; [XFAExtractor.XFAField]; [PDFEncodedStringDecoder.COSStringParser]; [PDFParserConfig.TikaImageType]; [PDFParserConfig.OCR_STRATEGY]; [PDFParserConfig.OCRStrategyAuto]; [PDFParserConfig.OCR_RENDERING_STRATEGY]; [PDFParserConfig.IMAGE_STRATEGY]; [PDFMarkedContent2XHTML.State]; [PDFMarkedContent2XHTML.HtmlTag]; [PDFMarkedContent2XHTML.ObjectRef]; [PDFMarkedContent2XHTML.MCID]; [PDF2XHTML.AngleCollector]. LCC (Lack of Component Cohesion) = 0.51
tika,org.apache.tika.parser.pdf,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.mime; org.apache.tika.parser.
tika,org.apache.tika.parser.pdf,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.renderer; org.apache.tika.io; org.apache.tika.renderer.pdf.pdfbox.
tika,org.apache.tika.parser.pdf,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.mime; org.apache.tika.metadata.
tika,org.apache.tika.parser.pdf,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.parser.pdf.xmpschemas; org.apache.tika.metadata.
tika,org.apache.tika.parser.pdf,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.tika.parser.pdf; org.apache.tika.parser.pdf.image; org.apache.tika.parser.pdf
tika,org.apache.tika.parser.pdf,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.tika.parser.pdf; org.apache.tika.renderer.pdf.pdfbox; org.apache.tika.parser.pdf
tika,org.apache.tika.renderer.pdf.pdfbox,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.tika.parser.pdf
tika,org.apache.tika.renderer.pdf.pdfbox,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TextOnlyPDFRenderer]; [TextOnlyPDFRenderer.TextOnlyPageDrawer]; [PDDocumentRenderer; PDFBoxRenderer]; [PDFRenderingState]; [NoTextPDFRenderer]; [NoTextPDFRenderer.NoTextPageDrawer]; [VectorGraphicsOnlyPDFRenderer]; [VectorGraphicsOnlyPDFRenderer.VectorGraphicsOnlyDrawer]. LCC (Lack of Component Cohesion) = 0.89
tika,org.apache.tika.parser.pdf.image,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.tika.parser.pdf
tika,org.apache.tika.detect.apple,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.tika.parser.iwork
tika,org.apache.tika.parser.apple,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PListParserTest]; [AppleSingleFileParser]; [AppleSingleFileParser.FieldInfo]; [PListParser]; [PListParser.State]; [AppleSingleFileParserTest]; [IWorkTest]; [PListParserTest]. LCC (Lack of Component Cohesion) = 1.0
tika,org.apache.tika.parser.iwork.iwana,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.mime; org.apache.tika.metadata.
tika,org.apache.tika.parser.iwork,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AutoPageNumberUtilsTest; AutoPageNumberUtils]; [IWorkParserTest; KeynoteContentHandler; IWorkPackageParser; PagesContentHandler; NumbersContentHandler]; [PagesContentHandler.DocumentPart]; [PagesContentHandler.Footnotes]; [PagesContentHandler.HeaderFooter]; [PagesContentHandler.Annotations]; [IWorkPackageParser.IWORKDocumentType]. LCC (Lack of Component Cohesion) = 0.58
tika,org.apache.tika.parser.iwork,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.sax; org.apache.tika.metadata.
tika,org.apache.tika.parser.pkg,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 36
tika,org.apache.tika.parser.pkg,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CompressParserTest; AbstractPkgTest; CompressParserTest; TarParserTest; ZipParserTest; Seven7ParserTest; ArParserTest; UnrarParserTest; ZlibParserTest; Bzip2ParserTest; RarParserTest; GzipParserTest; TarParserTest; ZipParserTest; Seven7ParserTest; ArParserTest; UnrarParserTest; UnrarParser; ZlibParserTest; Bzip2ParserTest; RarParserTest; RarParser; PackageParserTest; PackageParser]; [CompressorParserTest; CompressorParser; CompressorParserOptions]; [ZipBenchmark]; [AbstractPkgTest.EmbeddedMonitoringParser]; [AbstractPkgTest.EmbeddedTrackingParser]; [GzipParserTest]; [PackageParser.SevenZWrapper]; [CompressorParserTest]; [CompositeZipContainerDetectorTest]; [ZipParserTest.GatherRelIDsDocumentExtractor]; [PackageParserTest]. LCC (Lack of Component Cohesion) = 0.31
tika,org.apache.tika.parser.pkg,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.mime; org.apache.tika.detect.zip.
tika,org.apache.tika.parser.pkg,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.mime; org.apache.tika.metadata.
tika,org.apache.tika.detect,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 40
tika,org.apache.tika.detect,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.tika.detect.zip; org.apache.tika.parser.iwork.iwana
tika,org.apache.tika.detect,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.mime; org.apache.tika.io.
tika,org.apache.tika.detect,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.mime; org.apache.tika.metadata.
tika,org.apache.tika.detect,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.tika.detect; org.apache.tika.detect.zip; org.apache.tika.detect
tika,org.apache.tika.detect,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.tika.detect; org.apache.tika.parser.iwork.iwana; org.apache.tika.parser; org.apache.tika.detect
tika,org.apache.tika.parser.audio,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika; org.apache.tika.metadata.
tika,org.apache.tika.parser.audio,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.sax; org.apache.tika.metadata.
tika,org.apache.tika.parser.mp3,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Mp3ParserTest; ID3v2Frame; MP3Frame; ID3v22Handler; AudioFrame; ID3Tags; ID3v23Handler; Mp3Parser; Mp3Parser.ID3TagsAndAudio; MpegStreamTest; MpegStream; ID3v24Handler; LyricsHandler; ID3v1Handler; CompositeTagHandler]; [ID3v24Handler.RawV24TagIterator]; [ID3v2Frame.TextEncoding]; [ID3v2Frame.RawTag]; [ID3v2Frame.RawTagIterator]; [MpegStream.HeaderBitField]; [ID3v22Handler.RawV22TagIterator]; [ID3Tags.ID3Comment]; [ID3v23Handler.RawV23TagIterator]. LCC (Lack of Component Cohesion) = 0.39
tika,org.apache.tika.parser.hwp,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HwpV5ParserTest]; [HwpV5Parser; HwpTextExtractorV5; HwpStreamReader]; [HwpTextExtractorV5.SRand]; [HwpTextExtractorV5.FileHeader]; [HwpTextExtractorV5.TagInfo]; [HwpTextExtractorV5.HwpVersion]. LCC (Lack of Component Cohesion) = 0.75
tika,org.apache.tika.parser.wordperfect,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.mime; org.apache.tika.metadata.
tika,org.apache.tika.parser.odf,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ODFParserTest; OpenDocumentMetaParser; OpenDocumentParser; FlatOpenDocumentMacroHandler; OpenDocumentMacroHandler; NSNormalizerContentHandler]; [OpenDocumentContentParserTest; OpenDocumentContentParser; OpenDocumentBodyHandler]; [FlatOpenDocumentParser]; [FlatOpenDocumentParser.FlatOpenDocumentParserHandler]; [OpenDocumentManifestHandler]; [OpenDocumentBodyHandler.Style]; [OpenDocumentBodyHandler.TextStyle]; [OpenDocumentBodyHandler.ListStyle]; [OpenDocumentBodyHandler.NullListStyle]; [ODFParserTest]. LCC (Lack of Component Cohesion) = 0.59
tika,org.apache.tika.parser.odf,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.io; org.apache.tika.metadata.
tika,org.apache.tika.parser.dbf,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DBFParserTest; DBFParser; DBFReader; DBFColumnHeader; DBFCell; DBFFileHeader; DBFRow]; [DBFReader.Version]; [DBFColumnHeader.ColType]. LCC (Lack of Component Cohesion) = 0.33
tika,org.apache.tika.parser.epub,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EpubParserTest; EpubParser]; [EpubParser.RootFinder]; [EpubParser.ContentOrderScraper]; [EpubParser.HRefMediaPair]; [EpubParser.EncryptionHandler]; [EpubParser.EpubZipException]; [EpubParser.EpubNormalizingHandler]; [EpubContentParser]; [OPFParser]; [OPFParser.OPFHandler]. LCC (Lack of Component Cohesion) = 0.91
tika,org.apache.tika.parser.image,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32
tika,org.apache.tika.parser.image,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JpegParserTest]; [JXLTest]; [ImageMetadataExtractorTest; ImageMetadataExtractor; BPGParser; ImageParserTest; AbstractImageParser; ImageParser; TiffParser; HeifParser; JpegParser]; [ICNSParserTest]; [WebPParserTest]; [PSDParserTest]; [HeifParserTest]; [ICNSParser; ICNSType]; [MetadataFields]; [WebPParser]; [ImageMetadataExtractor.DirectoryHandler]; [ImageMetadataExtractor.CopyAllFieldsHandler]; [ImageMetadataExtractor.CopyUnknownFieldsHandler]; [ImageMetadataExtractor.TiffPageNumberHandler]; [ImageMetadataExtractor.DimensionsHandler]; [ImageMetadataExtractor.JpegCommentHandler]; [ImageMetadataExtractor.ExifHandler]; [ImageMetadataExtractor.IptcHandler]; [ImageMetadataExtractor.GeotagHandler]; [PSDParser]; [PSDParser.ResourceBlock]; [JXLParser]; [JpegParserTest]. LCC (Lack of Component Cohesion) = 0.72
tika,org.apache.tika.parser.image,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.metadata; org.apache.tika.sax.
tika,org.apache.tika.parser.image,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.io; org.apache.tika.parser.xmp.
tika,org.apache.tika.parser.crypto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Pkcs7ParserTest]; [TSDParserTest; TSDParser]; [TSDParser.OIDNameMapper]; [TSDParser.TSDMetas]; [Pkcs7Parser]; [TSDParserTest]. LCC (Lack of Component Cohesion) = 0.86
tika,org.apache.tika.parser.executable,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.mime; org.apache.tika.metadata.
tika,org.apache.tika.parser.html,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HtmlEncodingDetectorTest]; [StandardHtmlEncodingDetectorTest]; [HtmlParserTest; JSoupParser; HtmlMapper; IdentityHtmlMapper; DataURISchemeParserTest; DataURISchemeUtil; DataURIScheme; HtmlHandler; DataURISchemeParseException; XHTMLDowngradeHandler; DefaultHtmlMapper]; [HtmlParserTest.EncodingDetectorRunner]; [SrcDocTest]; [HtmlEncodingDetector]; [JSoupParser.TikaNodeFilter]; [JSoupParser.RuntimeSAXException]; [HtmlParserTest]. LCC (Lack of Component Cohesion) = 0.47
tika,org.apache.tika.parser.html,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.metadata; org.apache.tika.sax.
tika,org.apache.tika.parser.html,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.mime; org.apache.tika.metadata.
tika,org.apache.tika.parser.html,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.mime; org.apache.tika.metadata; org.apache.tika.extractor.
tika,org.apache.tika.parser.digestutils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CommonsDigester]; [CommonsDigester.DigestAlgorithm]; [CommonsDigester.HexEncoder]; [CommonsDigester.Base32Encoder]; [CommonsDigester.Base64Encoder]; [BouncyCastleDigester]; [BouncyCastleDigester.HexEncoder]; [BouncyCastleDigester.Base32Encoder]; [BouncyCastleDigester.BCInputStreamDigester]; [CommonsDigesterFactory]. LCC (Lack of Component Cohesion) = 1.0
tika,org.apache.tika.parser.mail,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RFC822ParserTest; RFC822Parser; MailContentHandler; RFC822ParserTest]; [MailContentHandler.Part]; [MailContentHandler.BodyContents]; [MboxParserTest]. LCC (Lack of Component Cohesion) = 0.57
tika,org.apache.tika.parser.mail,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.mime; org.apache.tika.metadata.
tika,org.apache.tika.parser.ocr,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.tika.parser.pdf; org.apache.tika.parser.image; org.apache.tika.parser.gdal
tika,org.apache.tika.parser.ocr,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TesseractOCRConfigTest; TesseractOCRParser; ImagePreprocessor; TesseractOCRConfig; TesseractOCRParserTest; TestOCR; TesseractOCRParserTest]; [TesseractOCRParser.HOCRPassThroughHandler]; [TesseractOCRConfig.OUTPUT_TYPE]. LCC (Lack of Component Cohesion) = 0.33
tika,org.apache.tika.parser.ocr,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.mime; org.apache.tika.parser.
tika,org.apache.tika.parser.ocr,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.tika.parser.ocr; org.apache.tika.parser.pdf; org.apache.tika.parser.ocr
tika,org.apache.tika.detect.zip,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FrictionlessDataDetectionTest]; [ZipDetectionTest; DefaultZipContainerDetector; OpenDocumentDetector; StreamingDetectContext; ZipContainerDetector; FrictionlessPackageDetector; StarOfficeDetector; IPADetector; JarDetector; KMZDetector; CompressorConstants; PackageConstants; StreamingZipContainerDetector]; [DeprecatedStreamingZipContainerDetector; ZipContainerDetectorBase]; [FrictionlessPackageDetector.PARTS]; [FrictionlessPackageDetector.Counter]; [DeprecatedZipContainerDetector]; [StarOfficeDetector.StarOfficeXHandler]; [IPADetector.TmpPatterns]; [JarDetector.SeenManifest]; [KMZDetector.KMLCounter]. LCC (Lack of Component Cohesion) = 0.43
tika,org.apache.tika.detect.zip,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.io; org.apache.tika.mime.
tika,org.apache.tika.parser.font,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.io; org.apache.tika.metadata.
tika,org.apache.tika.parser.strings,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Latin1StringsParserTest; Latin1StringsParser]; [StringsConfigTest; StringsConfig; StringsEncoding; StringsParser; StringsParserTest]. LCC (Lack of Component Cohesion) = 0.29
tika,org.apache.tika.parser.txt,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 65
tika,org.apache.tika.parser.txt,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BOMDetectorTest; BOMDetector]; [TXTParserTest]; [CharsetDetectorTest; CharsetDetector; CharsetMatch; Icu4jEncodingDetector; CharsetRecog_UTF8; CharsetRecog_Unicode; CharsetRecog_Unicode.CharsetRecog_UTF_16_BE; CharsetRecog_Unicode.CharsetRecog_UTF_16_LE; CharsetRecog_Unicode.CharsetRecog_UTF_32; CharsetRecog_mbcs; CharsetRecog_mbcs.CharsetRecog_sjis; CharsetRecog_mbcs.CharsetRecog_big5; CharsetRecog_mbcs.CharsetRecog_euc; CharsetRecog_mbcs.CharsetRecog_gb_18030; CharsetRecog_sbcs; CharsetRecog_sbcs.CharsetRecog_8859_1; CharsetRecog_sbcs.CharsetRecog_8859_2; CharsetRecog_sbcs.CharsetRecog_8859_5; CharsetRecog_sbcs.CharsetRecog_8859_6; CharsetRecog_sbcs.CharsetRecog_8859_7; CharsetRecog_sbcs.CharsetRecog_8859_8; CharsetRecog_sbcs.CharsetRecog_8859_9; CharsetRecog_sbcs.CharsetRecog_windows_1251; CharsetRecog_sbcs.CharsetRecog_IBM866_ru; CharsetRecog_sbcs.CharsetRecog_windows_1256; CharsetRecog_sbcs.CharsetRecog_KOI8_R; CharsetRecog_sbcs.CharsetRecog_IBM424_he; CharsetRecog_sbcs.CharsetRecog_IBM420_ar; CharsetRecog_sbcs.CharsetRecog_EBCDIC_500; CharsetRecognizer; CharsetRecog_2022; CharsetRecog_2022.CharsetRecog_2022JP; CharsetRecog_2022.CharsetRecog_2022KR; CharsetRecog_2022.CharsetRecog_2022CN; CharsetDetector.CSRecognizerInfo]; [UniversalEncodingListener; UniversalEncodingDetector]; [TXTParser]; [CharsetRecog_Unicode.CharsetRecog_UTF_32_BE]; [CharsetRecog_Unicode.CharsetRecog_UTF_32_LE]; [CharsetRecog_mbcs.iteratedChar]; [CharsetRecog_mbcs.CharsetRecog_euc_jp]; [CharsetRecog_mbcs.CharsetRecog_euc_kr]; [CharsetRecog_sbcs.NGramParser]; [CharsetRecog_sbcs.NGramParser_IBM420]; [CharsetRecog_sbcs.NGramsPlusLang]; [CharsetRecog_sbcs.CharsetRecog_8859_5_ru]; [CharsetRecog_sbcs.CharsetRecog_8859_6_ar]; [CharsetRecog_sbcs.CharsetRecog_8859_7_el]; [CharsetRecog_sbcs.CharsetRecog_8859_8_I_he]; [CharsetRecog_sbcs.CharsetRecog_8859_8_he]; [CharsetRecog_sbcs.CharsetRecog_8859_9_tr]; [CharsetRecog_sbcs.CharsetRecog_IBM424_he_rtl]; [CharsetRecog_sbcs.CharsetRecog_IBM424_he_ltr]; [CharsetRecog_sbcs.CharsetRecog_IBM420_ar_rtl]; [CharsetRecog_sbcs.CharsetRecog_IBM420_ar_ltr]; [CharsetRecog_sbcs.CharsetRecog_EBCDIC_500_en]; [CharsetRecog_sbcs.CharsetRecog_EBCDIC_500_de]; [CharsetRecog_sbcs.CharsetRecog_EBCDIC_500_fr]; [CharsetRecog_sbcs.CharsetRecog_EBCDIC_500_es]; [CharsetRecog_sbcs.CharsetRecog_EBCDIC_500_it]; [CharsetRecog_sbcs.CharsetRecog_EBCDIC_500_nl]. LCC (Lack of Component Cohesion) = 0.45
tika,org.apache.tika.parser.txt,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.mime; org.apache.tika.metadata.
tika,org.apache.tika.parser.csv,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TextAndCSVParserTest; TextAndCSVParser; CSVResult; CSVSnifferTest; CSVSniffer; CSVSniffer.Snifflet; TextAndCSVConfig; CSVParams]; [CSVSniffer.UnsurprisingEOF]; [CSVSniffer.HitMarkLimitException]; [CSVSniffer.MutableInt]; [CSVSniffer.CloseShieldReader]. LCC (Lack of Component Cohesion) = 0.42
tika,org.apache.tika.detect.microsoft,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.tika.parser.microsoft
tika,org.apache.tika.detect.microsoft,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.tika.detect.microsoft; org.apache.tika.parser.microsoft; org.apache.tika.detect.microsoft
tika,org.apache.tika.parser.microsoft,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 65
tika,org.apache.tika.parser.microsoft,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.tika.parser.html; org.apache.tika.parser.microsoft.msg; org.apache.tika.parser.microsoft.rtf; org.apache.tika.parser.txt; org.apache.tika.parser.microsoft.ooxml
tika,org.apache.tika.parser.microsoft,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TNEFParserTest; AbstractPOIContainerExtractionTest; POIContainerExtractionTest; TNEFParser; POIContainerExtractionTest]; [VisioParserTest]; [OldExcelParserTest; OldExcelParser; ExcelExtractor; OfficeParserTest; OfficeParser; HSLFExtractor; SummaryExtractor; AbstractPOIFSExtractor; JackcessExtractor; ExcelExtractor.TikaHSSFListener; WordParserTest; OfficeParserConfig; OutlookParserTest; PowerPointParserTest; ExcelParserTest; AbstractOfficeParser; OutlookExtractor; ListManager; WordExtractor; AbstractListManager; JackcessParser; FormattingUtils; TikaExcelDataFormatter]; [ProjectParserTest]; [MSOwnerFileParserTest]; [WriteProtectedParserTest]; [SolidworksParserTest]; [EMFParserTest; EMFParser]; [PublisherParserTest]; [OLE2CasingTest]; [WMFParserTest]; [JackcessParserTest]; [WMFParser]; [TextCell; Cell; LinkedCell; CellDecorator; NumberCell]; [OutlookExtractor.BODY_TYPES_PROCESSED]; [OutlookExtractor.RECIPIENT_TYPE]; [OutlookExtractor.ADDRESS_TYPE]; [OutlookExtractor.Recipient]; [TikaExcelGeneralFormat]; [EMFParser.ParseState]; [OfficeParser.POIFSDocumentType]; [JackcessParser.IgnoreLinkResolver]; [FormattingUtils.Tag]; [WordExtractor.TagAndStyle]; [WordExtractor.PicturesSource]; [AbstractListManager.ParagraphLevelCounter]; [AbstractListManager.LevelTuple]; [MSOwnerFileParser]; [ExcelExtractor.TikaFormatTrackingHSSFListener]; [ExcelExtractor.PointComparator]; [EMFParserTest]; [XML2003ParserTest]; [PowerPointParserTest]; [ExcelParserTest]. LCC (Lack of Component Cohesion) = 0.52
tika,org.apache.tika.parser.microsoft,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.mime; org.apache.tika.metadata.
tika,org.apache.tika.parser.microsoft,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.sax; org.apache.tika.metadata.
tika,org.apache.tika.parser.microsoft,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.metadata; org.apache.tika.extractor.
tika,org.apache.tika.parser.microsoft,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.io; org.apache.tika.sax.
tika,org.apache.tika.parser.microsoft,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.io; org.apache.tika.parser; org.apache.tika.sax.
tika,org.apache.tika.parser.microsoft,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.apache.tika.mime; org.apache.tika.io; org.apache.tika.metadata.
tika,org.apache.tika.parser.microsoft,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.tika.parser.microsoft; org.apache.tika.parser.microsoft.ooxml; org.apache.tika.parser.microsoft
tika,org.apache.tika.parser.microsoft.rtf,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RTFParserTest]; [TextExtractor; GroupState; RTFEmbObjHandler; RTFParser; RTFObjDataParser; ListDescriptor]; [RTFEmbObjHandler.EMB_STATE]; [RTFParserTest]; [RTFParserTest.Pair]. LCC (Lack of Component Cohesion) = 0.5
tika,org.apache.tika.parser.microsoft.ooxml,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 47
tika,org.apache.tika.parser.microsoft.ooxml,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.tika.parser.microsoft.ooxml.xps
